grid_id,PR,BH_avg,APAR,RD,poi_diversity,dominant_function_ratio,PD,ED,LPI,nli,LST_mean
8727,0.1803939941603388,18.0,0.3982017392566453,85.433060238187,0.0,0.0,4.0,26700.0,32.75,0.5,27.23000000000003
8731,0.3297008871488833,35.0,0.4186392099668834,0.0,0.0,0.0,36.0,10200.0,80.25,3.505,28.206666666666692
8732,0.1518100085720915,21.0,0.1640305313597351,0.0,0.0,0.0,16.0,15800.0,73.25,4.8025,28.46571428571432
8733,0.0456843638660351,18.0,0.1922380842380261,99.36683431856262,0.0,0.0,12.0,13400.0,78.0,3.615,27.998571428571456
8734,0.7654590280654788,12.6,0.2922914748650621,186.9141714986397,0.0,0.0,20.0,11700.0,81.25,5.425,28.42047619047622
8735,0.3350889809747744,18.285714285714285,0.214706588456275,0.0,0.0,0.0,12.0,9300.0,81.5,5.3675,28.320000000000032
8736,0.1661793683988967,18.23076923076923,0.3272498671771071,315.9080092896009,0.0,0.0,16.0,11700.0,51.5,1.9475,27.8714285714286
8738,0.0455004648745558,13.5,0.383642596211023,0.0,0.0,0.0,20.0,11700.0,77.0,9.43,28.384761904761927
8740,0.237577988346134,17.0,0.1926878068007505,0.0,0.0,0.0,12.0,10000.0,81.5,13.795,28.49571428571431
8803,0.2069235703698006,18.0,0.1513827912693412,323.7106027820955,0.0,0.0,44.0,23400.0,63.5,1.5,27.01714285714289
8806,0.0718154365113546,34.0,0.380350413126481,0.0,0.0,0.0,36.0,22900.0,65.25,3.295,28.068571428571463
8808,0.2104692434456615,56.4,0.3131184841597804,33.23908287880343,0.0,0.0,12.0,13700.0,65.75,3.2475,28.20571428571431
8809,0.5166174218073208,43.5,0.1706579051802945,0.0,0.0,0.0,16.0,10900.0,80.25,4.1225,28.277142857142888
8810,0.1091382728127857,22.8,0.2807493233332387,0.0,0.0,0.0,28.0,19400.0,64.5,4.1675,28.335238095238125
8830,0.049023223853767,14.4,0.2498986889359014,0.0,0.0,0.0,24.0,22400.0,47.5,4.12,28.159523809523844
8834,0.0153280547932734,18.0,0.1627138158299563,0.0,0.0,0.0,4.0,27200.0,28.25,1.99,28.0841666666667
8836,0.038400525405614,12.0,0.1872753518168893,0.0,0.0,0.0,32.0,26600.0,37.0,5.575,27.708095238095265
8837,0.0396496205791835,8.4,0.3253861851346523,0.0,0.0,0.0,4.0,24900.0,49.5,3.42,27.9954166666667
8838,0.1010812360912811,30.6,0.3449643901507645,0.0,0.0,0.0,32.0,24000.0,58.25,2.22,28.039047619047647
8839,0.1295377272494086,36.0,0.2166018437266787,0.0,0.0,0.0,32.0,15400.0,75.25,13.17,28.221904761904792
8840,0.0949335410271244,13.5,0.2305454432535557,0.0,0.0,0.0,20.0,14500.0,75.75,4.5725,28.34416666666669
8842,0.4466725828635643,13.833333333333334,0.2153259368664533,0.0,0.0,0.0,44.0,33500.0,50.5,5.7175,28.98285714285717
8843,0.6650800635792047,21.65217391304348,0.2599324945525764,0.0,0.0,0.0,52.0,32200.0,39.0,4.0925,28.720476190476223
8844,0.2093372190570179,15.6,0.3624920426555153,0.0,0.0,0.0,24.0,11200.0,81.25,6.9975,28.609047619047644
8845,1.3170708384262315,30.64864864864865,0.3047040680592692,86.80528725974098,0.0,0.0,32.0,24000.0,66.75,6.855,29.257142857142885
8847,0.2826458887953995,49.5,0.3342252640748138,41.35624710886932,0.0,0.0,44.0,27300.0,58.5,8.175,29.11666666666669
8848,0.6328208878749613,40.5,0.2011266728589204,0.0,0.0,0.0,28.0,23100.0,65.25,16.31,29.09476190476193
